,timestamp,open,high,low,close,volume,symbol,exchange,timeframe,isEmaUptrend,isEmaDowntrend,isSmaUptrend,isSmaDowntrend,prediction,signal,barsHeld,isEarlySignalFlip,isLastSignalBuy,isLastSignalSell,isNewBuySignal,isNewSellSignal,startLongTrade,startShortTrade,endLongTrade,endShortTrade
568,1697551200000,28276.5,28500.0,28260.0,28449.7,23033.849,BTCUSDT,binance futures,1h,True,True,True,True,-10,-1,1,False,True,False,False,False,,,False,True
569,1697554800000,28449.7,28567.7,28412.5,28445.8,19768.827,BTCUSDT,binance futures,1h,True,True,True,True,-6,-1,2,False,True,False,False,False,,,False,False
570,1697558400000,28445.7,28591.9,28410.9,28566.7,11749.933,BTCUSDT,binance futures,1h,True,True,True,True,6,-1,3,False,True,False,False,False,,,False,False
571,1697562000000,28566.7,28596.0,28347.6,28414.9,16311.912,BTCUSDT,binance futures,1h,True,True,True,True,6,1,0,False,False,True,True,False,28347.6,,False,True
572,1697565600000,28414.8,28474.5,28290.0,28334.0,10922.612,BTCUSDT,binance futures,1h,True,True,True,True,0,1,1,False,False,True,False,False,,,True,False
573,1697569200000,28334.0,28500.0,28330.0,28499.0,8402.184,BTCUSDT,binance futures,1h,True,True,True,True,-4,1,2,False,False,True,False,False,,,False,False
574,1697572800000,28499.0,28528.0,28430.0,28431.3,7835.999,BTCUSDT,binance futures,1h,True,True,True,True,-10,1,3,False,False,True,False,False,,,False,False
575,1697576400000,28431.4,28544.3,28390.7,28468.6,6679.517,BTCUSDT,binance futures,1h,True,True,True,True,2,1,4,False,True,False,False,False,,,True,False
576,1697580000000,28468.6,28473.5,28360.0,28405.3,6888.975,BTCUSDT,binance futures,1h,True,True,True,True,2,1,5,False,True,False,False,False,,,False,False
577,1697583600000,28405.4,28432.8,28371.3,28381.9,3137.485,BTCUSDT,binance futures,1h,True,True,True,True,-8,1,6,False,True,False,False,False,,,False,False
578,1697587200000,28382.0,28424.1,28307.6,28361.4,6868.728,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,7,False,True,False,False,False,,,False,False
579,1697590800000,28361.5,28406.0,28307.6,28340.0,5339.188,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,8,False,True,False,False,False,,,False,False
580,1697594400000,28340.0,28494.9,28338.8,28455.7,8594.37,BTCUSDT,binance futures,1h,True,True,True,True,-8,1,9,False,True,False,False,False,,,False,False
581,1697598000000,28455.6,28500.0,28429.0,28498.0,5101.093,BTCUSDT,binance futures,1h,True,True,True,True,2,1,10,False,True,False,False,False,,,False,False
582,1697601600000,28498.1,29100.0,28428.3,28716.8,35212.95,BTCUSDT,binance futures,1h,True,True,True,True,12,1,11,False,True,False,False,False,,,False,False
583,1697605200000,28716.8,28849.9,28621.3,28681.9,35928.075,BTCUSDT,binance futures,1h,True,True,True,True,12,1,12,False,True,False,False,False,,,False,False
584,1697608800000,28681.9,28728.3,28607.0,28653.4,9909.149,BTCUSDT,binance futures,1h,True,True,True,True,10,1,13,False,True,False,False,False,,,False,False
585,1697612400000,28653.4,28659.5,28450.0,28485.1,17828.551,BTCUSDT,binance futures,1h,True,True,True,True,8,1,14,False,True,False,False,False,,,False,False
586,1697616000000,28485.1,28547.7,28452.9,28543.4,10300.227,BTCUSDT,binance futures,1h,True,True,True,True,8,1,15,False,True,False,False,False,,,False,False
587,1697619600000,28543.4,28584.9,28204.8,28246.2,19449.592,BTCUSDT,binance futures,1h,True,True,True,True,-11,-1,0,False,True,False,False,True,,28584.9,False,False
588,1697623200000,28246.2,28402.6,28240.0,28357.8,19451.066,BTCUSDT,binance futures,1h,True,True,True,True,-13,-1,1,False,True,False,False,False,,,False,False
589,1697626800000,28357.8,28389.0,28313.4,28327.3,6865.062,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,2,False,True,False,False,False,,,False,False
590,1697630400000,28327.3,28393.2,28263.1,28315.7,10933.991,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,3,False,True,False,False,False,,,False,False
591,1697634000000,28315.6,28373.9,28246.5,28313.2,13069.877,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,4,False,False,True,False,False,,,False,True
592,1697637600000,28313.1,28354.2,28126.6,28180.4,24141.422,BTCUSDT,binance futures,1h,True,True,True,True,-14,-1,5,False,False,True,False,False,,,False,False
593,1697641200000,28180.3,28274.6,28142.2,28235.3,10000.326,BTCUSDT,binance futures,1h,True,True,True,True,-14,-1,6,False,False,True,False,False,,,False,False
594,1697644800000,28235.4,28386.6,28215.4,28332.1,14607.674,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,7,False,False,True,False,False,,,False,False
595,1697648400000,28332.1,28423.4,28312.2,28312.2,9943.495,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,8,False,False,True,False,False,,,False,False
596,1697652000000,28312.2,28352.5,28264.4,28284.3,6354.204,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,9,False,False,True,False,False,,,False,False
597,1697655600000,28284.3,28327.8,28228.5,28233.3,6941.693,BTCUSDT,binance futures,1h,True,True,True,True,-14,-1,10,False,False,True,False,False,,,False,False
598,1697659200000,28233.2,28293.8,28169.4,28236.9,7399.963,BTCUSDT,binance futures,1h,True,True,True,True,-14,-1,11,False,False,True,False,False,,,False,False
599,1697662800000,28236.9,28272.0,28200.1,28252.9,3380.997,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,12,False,False,True,False,False,,,False,False
